2025-04-29 09:27:34	0a52c943-ed60-43d1-b066-7b0af0d56b78	/new-page	GET
2025-04-29 09:27:34	26471084-c1d9-41f2-95e2-74918eb4fa97	/css/style.css	GET
2025-04-29 09:27:34	34047656-2448-4aa6-a387-3f8ae693ed72	/img/img1.jpg	GET
2025-04-29 09:27:34	65abd565-4bc3-410e-bfce-09909d3e1e64	/favicon.ico	GET
2025-04-29 09:30:11	fb8ce154-9212-4ecd-9840-f1bbe82b815e	/new-page	GET
2025-04-29 09:31:04	37804d5a-6e9c-4ca0-bf62-984d5571464a	/new-page	GET
2025-04-29 09:31:04	79ecd8f0-1190-491b-91ba-dfd4eedf3927	/css/style.css	GET
2025-04-29 09:31:04	d2c7fadd-3906-4db7-94d0-3adbb4b226f4	/img/img1.jpg	GET
2025-04-29 09:31:09	570abadd-e8cd-4f7c-a14e-c5c1ece70993	/new-page.html	GET
2025-04-29 09:31:09	9127654b-6061-47a1-9b27-a1446fc7f564	/css/style.css	GET
2025-04-29 09:31:09	fe37ebb9-dfe8-4b3e-97ac-71ede8ba0fcf	/img/img1.jpg	GET
2025-04-29 09:31:45	eb75ee13-00f3-4f75-91b0-5d94ead97070	/	GET
2025-04-29 09:31:45	c884704b-9417-4566-9201-6fd6c739e2b8	/css/style.css	GET
2025-05-02 10:57:03	05848bd9-f1b3-4fd4-b5b1-e2a0e49c0bc7	GET	https://www.google.com	/
2025-05-02 11:06:45	34dd17db-5f51-4a43-84ce-169b95538d83	GET	undefined	/
2025-05-02 11:09:11	f23c8bce-2cfe-4661-b530-c357f3aa9fed	GET	undefined	/
2025-05-02 11:09:11	59551ddd-5a0a-49cb-9113-3a483788f97d	GET	undefined	/favicon.ico
2025-05-02 11:24:24	1aed414a-9f71-4b1b-8a02-4e892ffa1909	GET	undefined	/
2025-05-02 11:28:35	58f28bd4-b6da-45c1-91a1-8acb8d02596c	GET	undefined	/
2025-05-02 11:28:35	d0da55d4-92a9-486d-814e-36ab95c10af3	GET	undefined	/favicon.ico
2025-05-02 13:38:55	7495b1a4-2ecf-427e-958c-cb9e7beae1ea	GET	undefined	/
2025-05-02 13:38:55	f1cd99f4-573f-43d2-b500-e85eaeacf2a6	GET	undefined	/favicon.ico
2025-05-02 13:39:13	2e411bc4-e7b1-45cb-9c72-e58047df7a93	GET	undefined	/
2025-05-02 13:39:13	d14eb64f-6a3a-44ef-9ef3-1168ea4196fd	GET	undefined	/css/style.css
2025-05-02 13:39:13	ed97d71f-e32d-4f55-996e-b8aeca36e3a8	GET	undefined	/favicon.ico
2025-05-02 13:39:30	4d0656c2-afa3-495b-8251-f266eefefef7	GET	undefined	/dave
2025-05-02 13:39:30	277b8324-fe03-49ed-aedf-588ebca23f83	GET	undefined	/css/style.css
2025-05-02 13:39:30	6e7e26fc-8139-450e-b370-044c7d98ab96	GET	undefined	/favicon.ico
2025-05-02 13:39:40	3d69e2fc-a85b-4ec6-9283-07a7585740ff	GET	undefined	/dave.html
2025-05-02 13:39:40	899fdad9-c485-4830-9a7d-5026a21be243	GET	undefined	/css/style.css
2025-05-02 13:39:40	697f7483-9df0-4741-845b-7170c0d1b27b	GET	undefined	/favicon.ico
2025-05-02 13:40:37	7346fd46-1334-4cea-94e3-2cf4c7e78032	GET	undefined	/error
2025-05-02 13:40:37	c2d392b4-158d-4ca0-b2f2-203a3d70b6e0	GET	undefined	/css/style.css
2025-05-02 13:40:37	d757bc78-c674-463c-bb1e-992cae9247ed	GET	undefined	/favicon.ico
2025-05-02 13:41:04	b3866ca7-b59b-4427-8fa9-d17e7fb19032	GET	undefined	/error
2025-05-02 13:41:04	b22ea39d-9e74-4d1a-9a42-cddddd2c5d92	GET	undefined	/css/style.css
2025-05-02 13:41:04	35511b02-1814-44dc-8ed6-76632c77d667	GET	undefined	/favicon.ico
2025-05-02 13:41:45	3cdef321-d604-4cc9-afb0-4ba0c32fb32a	GET	undefined	/hello
2025-05-02 13:41:45	78f3912b-bfe7-4067-a9f7-f7e152b013d8	GET	undefined	/css/style.css
2025-05-02 13:41:47	4ddb202f-01ad-4a0f-a315-8f19cdffba98	GET	undefined	/favicon.ico
2025-05-02 13:42:59	4929b193-0968-4db3-9591-87a17ad4f0fe	GET	undefined	/index
2025-05-02 13:42:59	dae3a9f3-686e-4c08-9e19-c00bc0ed1039	GET	undefined	/css/style.css
2025-05-02 13:43:00	60bffd47-c8a4-444f-9b20-c6af918fb6c5	GET	undefined	/favicon.ico
2025-05-02 13:43:58	7d6cd0c8-b6f7-460a-bb38-ef71fd05c2c4	GET	undefined	/index
2025-05-02 13:43:58	8c5d6de5-111b-4819-abcd-3f6ce90eccbf	GET	undefined	/css/style.css
2025-05-02 13:43:58	3aa2093c-af56-4c8f-bf56-bb5626702f5d	GET	undefined	/favicon.ico
2025-05-02 13:44:05	eca29542-fc74-4fe7-a3f6-b79f8a66a070	GET	undefined	/
2025-05-02 13:44:05	67496f6b-0ac7-4cc2-9113-70f4a9c6d161	GET	undefined	/css/style.css
2025-05-02 13:44:13	913a5036-32bf-4eee-976a-ece2344c3eb2	GET	undefined	/
2025-05-02 13:44:13	73c7eb29-b3b5-46da-8ccf-4c0d103431a9	GET	undefined	/css/style.css
2025-05-02 13:47:02	0a0b6593-c3ae-4729-bb3f-62172132737c	GET	undefined	/css/style.css
2025-05-02 13:47:22	432aa3b3-00f1-48df-8625-8d6f5acb5865	GET	undefined	/
2025-05-02 13:47:22	990100a6-a1c0-4e24-9181-90b7ce3351ab	GET	undefined	/style.css
2025-05-02 13:47:32	97dd8b98-2514-44ec-a8eb-6a4d25721332	GET	undefined	/
2025-05-02 13:47:32	7fec292b-5dd3-46e3-a50a-c9409c0069b6	GET	undefined	/css/style.css
2025-05-02 13:48:05	6b4f7fa3-4312-45c3-b621-0cbe547fedb7	GET	undefined	/index
2025-05-02 13:48:05	253f2dec-fe60-4bbc-981c-d4d78afa9b28	GET	undefined	/css/style.css
2025-05-02 13:48:36	68602b99-a5cb-4bc1-b3e1-0bba16e8612c	GET	undefined	/index
2025-05-02 13:48:36	d55c6098-625f-4992-a342-bbf75ade668b	GET	undefined	/css/style.css
2025-05-02 13:48:41	3c4c8a8e-41c4-4959-9f30-46392f2ad04a	GET	undefined	/
2025-05-02 13:48:42	583014da-b304-4385-ad44-eb0418f5e45e	GET	undefined	/css/style.css
2025-05-02 13:48:45	807e6928-0ff4-40c1-ae55-a165d5a54f01	GET	undefined	/
2025-05-02 13:48:45	e8ec6f77-fffa-467c-a311-fab00eaf54db	GET	undefined	/css/style.css
2025-05-02 13:48:49	8bbe4468-ba15-4295-b8b3-bae5ddc7cf34	GET	undefined	/index
2025-05-02 13:48:49	0a880995-0546-4e2a-acae-2aad701f5c6c	GET	undefined	/css/style.css
2025-05-02 13:48:50	696ab5b9-4c76-400d-b533-d7ca67c0e4cd	GET	undefined	/info
2025-05-02 13:48:50	f16103f4-aea5-438f-846a-c34841ed2f37	GET	undefined	/css/style.css
2025-05-02 13:48:54	3f265126-7b52-40f7-91f7-a95bc5869ee2	GET	undefined	/info
2025-05-02 13:48:54	44af83a7-e53a-4f20-897e-7686876addbc	GET	undefined	/css/style.css
2025-05-02 13:48:57	35b37dab-c868-4b43-b65a-229e855bd5a4	GET	undefined	/dave
2025-05-02 13:48:57	8b01f8b9-7501-4673-9408-e97c609c64c5	GET	undefined	/css/style.css
2025-05-05 14:13:01	5375517d-6835-400a-993e-281519e30b20	GET	undefined	/
2025-05-05 14:13:01	93b8f93f-59b1-41f0-8d09-12c17aee2c7d	GET	undefined	/css/style.css
2025-05-05 14:13:01	62344744-0393-461f-9885-58cf94745a50	GET	undefined	/favicon.ico
2025-05-05 14:13:22	2c4b0d6f-21c0-4fbc-bbdb-13a831e6e6d7	GET	undefined	/views/subdir/index
2025-05-05 14:13:22	70761d72-877c-4b92-ace9-a2af0b1c9013	GET	undefined	/css/style.css
2025-05-05 14:13:29	f78972d5-e7c7-4c11-8094-5abe255422da	GET	undefined	/views/subdir/test
2025-05-05 14:13:29	8c291131-4838-498c-85cd-98c696c39565	GET	undefined	/css/style.css
2025-05-05 14:15:27	6631bbd5-cb79-4364-8705-b0e580fd5598	GET	undefined	/views/subdir/test
2025-05-05 14:15:27	c7e638c7-cd68-4ceb-bfd0-ea8d48c51dd4	GET	undefined	/css/style.css
2025-05-05 14:15:52	a53d0ad4-9fa8-456b-b210-7b1955a2bfbb	GET	undefined	/subdir
2025-05-05 14:16:35	a8f027d6-255a-449e-857b-88a5db8827d6	GET	undefined	/subdir
2025-05-05 14:16:55	4d9ebd79-137c-4707-8f6f-a3d2e9403b52	GET	undefined	/subdir/test
2025-05-05 14:20:03	8a6eeec3-1f3f-4381-93ec-a190c8d33b38	GET	undefined	/subdir/test
2025-05-05 14:20:03	03d00db1-27cd-4e72-ab29-64d38d0e25e9	GET	undefined	/css/style.css
2025-05-05 14:20:11	aa9f7832-4ec0-49b8-a610-3b62b1f7ad1a	GET	undefined	/subdir
2025-05-05 14:20:11	57256bbb-6346-402e-ab08-ae76fce7f5fe	GET	undefined	/css/style.css
2025-05-05 16:48:15	89776300-69b2-4613-8e68-130fd495edf5	GET	undefined	/
2025-05-05 16:48:15	e94f09c6-0e8d-4e8e-82a9-d6f59f6b57fe	GET	undefined	/css/style.css
2025-05-05 16:48:15	adeba95e-e9b9-422f-895f-ce4e2804baa2	GET	undefined	/favicon.ico
2025-05-06 10:52:51	2cabf6da-ecdc-4982-9dc8-d47013cc329e	GET	undefined	/new-page
2025-05-06 10:52:51	73dc5047-88db-4cec-ae4d-1a9db4587fcc	GET	undefined	/css/style.css
2025-05-06 10:52:51	7a4a978e-6195-4719-89e0-74c85cdcf83b	GET	undefined	/img/img1.jpg
2025-05-06 10:52:51	41403871-149c-4ff7-b853-d95e1245170d	GET	undefined	/favicon.ico
2025-05-06 10:53:00	fb6dfd98-9517-4dd3-a8ad-f63a1c6f2d27	GET	undefined	/index
2025-05-06 10:53:00	76edd907-0a3b-4503-ad6b-6b952738279f	GET	undefined	/css/style.css
2025-05-06 10:54:35	3636cf47-e073-4257-9a14-86496d73b3f5	GET	undefined	/new-page
2025-05-06 10:54:36	3edeab8b-f017-4faa-8b57-45a8d6693fb6	GET	undefined	/css/style.css
2025-05-06 10:54:36	68c0d531-39fb-4638-825c-785efc834ecc	GET	undefined	/img/img1.jpg
2025-05-06 10:56:18	b26ecf7f-b096-42d3-bfeb-9fd18ab5dfed	GET	undefined	/old-page
2025-05-06 10:56:18	68a283bf-71f0-4613-8b5b-c85482ad4aed	GET	undefined	/new-page.html
2025-05-06 10:56:18	072e8f88-cdc1-4e92-9c99-7b196c34d39d	GET	undefined	/css/style.css
2025-05-06 10:56:18	00591342-af33-49f6-a582-b80a77a41184	GET	undefined	/img/img1.jpg
2025-05-06 10:56:35	8348ee04-5a7d-41a5-ae0c-85ecdbcbdf2a	GET	undefined	/css/style.css
2025-05-06 11:19:56	dba586ac-fac4-4e56-95ed-32044f18455c	GET	undefined	/employees
2025-05-06 11:21:27	49884a0c-8234-4469-8d24-df7c1e4a84ce	POST	undefined	/employees?firstname=Leo&lastname=Ventri
2025-05-06 11:23:33	ad564e39-a585-4f8e-8e5e-8e35ea2f00cc	POST	undefined	/employees
2025-05-06 11:24:21	6ce98122-b0f3-451a-b717-f7a8f142c3a9	POST	undefined	/employees
2025-05-06 11:29:32	1d03ac3c-eadf-4d57-a60b-86f519113e91	GET	undefined	/employees
2025-05-06 11:30:07	117cad5d-3d6a-4a59-96c9-0c124078d2e3	POST	undefined	/employees
2025-05-06 11:31:22	ac418e52-64b4-4725-996f-375e774fa9e7	PUT	undefined	/employees
2025-05-06 11:32:03	72a3ce33-01e3-485e-b904-df3e663d73a3	PUT	undefined	/employees
2025-05-06 11:33:14	27bede1d-88f9-4cd6-adca-138b37c29192	PUT	undefined	/employees
2025-05-06 11:34:26	c0877c25-9a7b-4928-8b4d-e34732c09c02	GET	undefined	/employees/1
